Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Ryan Anderson\anderry01,PF,28,HOU,72,72,29.4,4.5,10.7,0.418,2.8,7,0.403,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3,4.6,0.9,0.4,0.2,0.8,2,13.6
Giannis Antetokounmpo\antetgi01,SF,22,MIL,80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9
Carmelo Anthony\anthoca01,SF,32,NYK,74,74,34.3,8.1,18.8,0.433,2,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4
Joel Anthony\anthojo01,C,34,SAS,19,0,6.4,0.5,0.8,0.625,0,0,,0.5,0.8,0.625,0.625,0.3,0.4,0.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3
Trevor Ariza\arizatr01,SF,31,HOU,80,80,34.7,4.1,10,0.409,2.4,6.9,0.344,1.7,3,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7
Darrell Arthur\arthuda01,PF,28,DEN,41,7,15.6,2.3,5.2,0.442,1.3,2.9,0.453,1,2.4,0.429,0.565,0.5,0.5,0.864,0.6,2.1,2.7,1,0.5,0.5,0.9,1.9,6.4
Omer Asik\asikom01,C,30,NOP,31,19,15.5,1,2.1,0.477,0,0,,1,2.1,0.477,0.477,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7
D.J. Augustin\augusdj01,PG,29,ORL,78,20,19.7,2.5,6.6,0.377,1.2,3.5,0.347,1.3,3.1,0.412,0.469,1.7,2.1,0.814,0.2,1.3,1.5,2.7,0.4,0,1.2,1.3,7.9
Luke Babbitt\babbilu01,SF,27,MIA,68,55,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8
Ron Baker\bakerro01,SG,23,NYK,52,13,16.5,1.6,4.2,0.378,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1
Wade Baldwin\baldwwa01,PG,20,MEM,33,1,12.3,1.1,3.5,0.313,0.1,0.7,0.136,1,2.8,0.355,0.326,0.9,1.1,0.838,0.3,1.1,1.4,1.8,0.5,0.2,1.2,1.2,3.2
Leandro Barbosa\barbole01,SG,34,PHO,67,0,14.4,2.6,5.9,0.439,0.5,1.5,0.357,2,4.4,0.466,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3
J.J. Barea\bareajo01,PG,32,DAL,35,6,22,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0,1.8,0.9,10.9
Harrison Barnes\barneha02,PF,24,DAL,79,79,35.5,7.6,16.2,0.468,1,2.8,0.351,6.6,13.4,0.492,0.498,3.1,3.6,0.861,1.2,3.8,5,1.5,0.8,0.2,1.3,1.6,19.2
Matt Barnes\barnema02,SF,36,TOT,74,18,24,2.5,6.4,0.391,1.2,3.6,0.331,1.3,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1
Matt Barnes\barnema02,SF,36,SAC,54,13,25.3,2.7,7.1,0.384,1.3,3.9,0.327,1.4,3.2,0.453,0.474,0.9,1.2,0.758,1,4.4,5.4,2.8,0.7,0.3,1.5,2.6,7.6
Matt Barnes\barnema02,SF,36,GSW,20,5,20.5,1.9,4.5,0.422,0.9,2.6,0.346,1,1.9,0.526,0.522,1,1.2,0.87,0.8,3.8,4.6,2.3,0.6,0.5,1.2,2.4,5.7
Will Barton\bartowi01,SG,26,DEN,60,19,28.4,4.9,11.1,0.443,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7
Brandon Bass\bassbr01,PF,31,LAC,52,0,11.1,2.1,3.6,0.575,0,0.1,0.333,2,3.5,0.579,0.578,1.5,1.7,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6
Nicolas Batum\batumni01,SG,28,CHO,77,77,34,5.1,12.7,0.403,1.8,5.3,0.333,3.4,7.4,0.453,0.472,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1
Jerryd Bayless\bayleje01,PG,28,PHI,3,1,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3,9,0.333,0.375,3,3.3,0.9,1,3,4,4.3,0,0,3,1.3,11
Aron Baynes\baynear01,C,30,DET,75,2,15.5,1.9,3.7,0.513,0,0,,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3,4.4,0.4,0.2,0.5,0.7,2.2,4.9
Kent Bazemore\bazemke01,SF,27,ATL,73,64,26.9,4,9.9,0.409,1.3,3.6,0.346,2.8,6.2,0.446,0.473,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11
Bradley Beal\bealbr01,SG,23,WAS,77,77,34.9,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10,0.538,0.566,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2,2.2,23.1
Malik Beasley\beaslma01,SG,20,DEN,22,1,7.5,1.5,3.3,0.452,0.4,1.3,0.321,1.1,2,0.533,0.514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0,0.4,0.5,3.8
Michael Beasley\beaslmi01,PF,28,MIL,56,6,16.7,3.9,7.3,0.532,0.3,0.8,0.419,3.5,6.5,0.545,0.554,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4
Marco Belinelli\belinma01,SG,30,CHO,74,0,24,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2,2.3,0.893,0.2,2.2,2.4,2,0.6,0.1,0.9,1.2,10.5
DeAndre' Bembry\bembrde01,SF,22,ATL,38,1,9.8,1.2,2.6,0.48,0,0.5,0.056,1.2,2.1,0.575,0.485,0.2,0.4,0.375,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7
Dragan Bender\bendedr01,PF,19,PHO,43,0,13.3,1.3,3.7,0.354,0.7,2.3,0.277,0.7,1.4,0.483,0.441,0.1,0.3,0.364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4
Anthony Bennett\bennean01,PF,23,BRK,23,1,11.5,1.7,4,0.413,0.6,2.1,0.271,1.1,1.9,0.568,0.484,1.1,1.6,0.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5
Ben Bentil\bentibe01,PF,21,DAL,3,0,3.3,0,1,0,0,0.3,0,0,0.7,0,0,0,0,,0,0.7,0.7,0,0,0,0.3,0.3,0
Davis Bertans\bertada01,PF,24,SAS,67,6,12.1,1.5,3.5,0.44,1,2.6,0.399,0.5,0.9,0.557,0.588,0.4,0.5,0.824,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5
Patrick Beverley\beverpa01,SG,28,HOU,67,67,30.7,3.4,8.1,0.42,1.6,4.3,0.382,1.8,3.8,0.463,0.521,1.1,1.4,0.768,1.4,4.4,5.9,4.2,1.5,0.4,1.5,3.3,9.5
Bismack Biyombo\biyombi01,C,24,ORL,81,27,22.1,2.2,4.2,0.528,0,0,,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7,0.9,0.3,1.1,1.2,2.5,6
Nemanja Bjelica\bjeline01,PF,28,MIN,65,1,18.3,2.3,5.5,0.424,0.9,2.7,0.316,1.5,2.8,0.531,0.503,0.7,0.9,0.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2
Tarik Black\blackta01,C,25,LAL,67,16,16.3,2.2,4.4,0.51,0,0,0.5,2.2,4.4,0.51,0.512,1.2,1.6,0.752,2.1,3,5.1,0.6,0.4,0.7,0.9,2.6,5.7
Eric Bledsoe\bledser01,PG,27,PHO,66,66,33,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11,0.477,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1
Bojan Bogdanovic\bogdabo02,SF,27,TOT,81,54,25.7,4.6,10.4,0.445,1.8,4.8,0.367,2.9,5.6,0.512,0.53,2.7,3,0.893,0.5,3,3.4,1.4,0.4,0.1,1.6,1.8,13.7
Bojan Bogdanovic\bogdabo02,SF,27,BRK,55,54,26.9,4.9,11.1,0.44,1.8,5,0.357,3.1,6.1,0.509,0.521,2.7,3,0.874,0.4,3.2,3.6,1.6,0.4,0.1,1.7,1.8,14.2
Bojan Bogdanovic\bogdabo02,SF,27,WAS,26,0,23.1,4.1,9,0.457,1.7,4.4,0.391,2.4,4.6,0.521,0.553,2.7,2.9,0.934,0.5,2.5,3.1,0.8,0.4,0.2,1.5,1.8,12.7
Andrew Bogut\bogutan01,C,32,TOT,27,21,21.6,1.4,3,0.469,0,0,0,1.4,3,0.475,0.469,0.1,0.4,0.273,2.1,6,8.1,1.8,0.5,0.9,1.6,3.2,2.9
Andrew Bogut\bogutan01,C,32,DAL,26,21,22.4,1.5,3.1,0.469,0,0,0,1.5,3.1,0.475,0.469,0.1,0.4,0.273,2.2,6.2,8.4,1.9,0.5,1,1.7,3.2,3
Andrew Bogut\bogutan01,C,32,CLE,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0
Joel Bolomboy\bolomjo01,PF,23,UTA,12,0,4.4,0.8,1.3,0.563,0.1,0.3,0.25,0.7,1,0.667,0.594,0.3,0.5,0.5,0.3,1.1,1.4,0.2,0.1,0.2,0.2,0.1,1.8
Devin Booker\bookede01,SG,20,PHO,78,78,35,7.8,18.3,0.423,1.9,5.2,0.363,5.9,13.2,0.447,0.475,4.7,5.7,0.832,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1
Trevor Booker\booketr01,PF,29,BRK,71,43,24.7,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1,1.5,0.673,2,6,8,1.9,1.1,0.4,1.8,2.1,10
Avery Bradley\bradlav01,SG,26,BOS,55,55,33.4,6.5,14.1,0.463,2,5,0.39,4.6,9.1,0.504,0.533,1.2,1.7,0.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3
Corey Brewer\breweco01,SF,30,TOT,82,11,15.6,1.8,4.2,0.422,0.3,1.4,0.229,1.5,2.8,0.522,0.461,0.6,0.8,0.735,0.4,1.6,2,1.2,0.7,0.2,0.7,1.6,4.5
Corey Brewer\breweco01,SF,30,HOU,58,8,15.9,1.6,3.9,0.414,0.4,1.6,0.234,1.2,2.3,0.541,0.463,0.6,0.8,0.727,0.4,1.6,2,1.1,0.6,0.2,0.6,1.8,4.2
Corey Brewer\breweco01,SF,30,LAL,24,3,14.9,2.2,5,0.438,0.2,1,0.208,2,4,0.495,0.459,0.8,1,0.75,0.5,1.7,2.2,1.5,1,0.3,0.8,1.2,5.4
Malcolm Brogdon\brogdma01,SG,24,MIL,75,28,26.4,3.9,8.5,0.457,1,2.6,0.404,2.8,5.9,0.48,0.518,1.5,1.7,0.865,0.6,2.2,2.8,4.2,1.1,0.2,1.5,1.9,10.2
Aaron Brooks\brookaa01,PG,32,IND,65,0,13.8,1.9,4.6,0.403,0.7,2,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1,1.4,5
Anthony Brown\brownan02,SF,24,TOT,11,0,14.5,1.6,4.5,0.36,0.6,2.5,0.259,1,2.1,0.478,0.43,0,0,,0.7,2.3,3,0.7,0.5,0.1,0.5,1.4,3.9
Anthony Brown\brownan02,SF,24,NOP,9,0,15.9,1.6,4.6,0.341,0.7,2.7,0.25,0.9,1.9,0.471,0.415,0,0,,0.7,2.2,2.9,0.7,0.6,0.1,0.6,1.4,3.8
Anthony Brown\brownan02,SF,24,ORL,2,0,8,2,4.5,0.444,0.5,1.5,0.333,1.5,3,0.5,0.5,0,0,,1,2.5,3.5,1,0,0,0.5,1,4.5
Bobby Brown\brownbo02,PG,32,HOU,25,0,4.9,0.9,2.4,0.383,0.6,1.4,0.4,0.4,1,0.36,0.5,0.1,0.1,1,0,0.2,0.2,0.6,0,0,0.2,0.2,2.5
Jaylen Brown\brownja02,SF,20,BOS,78,20,17.2,2.5,5.4,0.454,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6
Nicolas Brussino\brussni01,SF,23,DAL,54,2,9.6,1,2.6,0.369,0.5,1.8,0.305,0.4,0.9,0.5,0.472,0.3,0.4,0.773,0.5,1.3,1.8,0.9,0.3,0.1,0.5,0.8,2.8
Reggie Bullock\bullore01,SF,25,DET,31,5,15.1,1.7,4.1,0.422,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.714,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5
Trey Burke\burketr01,PG,24,WAS,57,0,12.3,2,4.5,0.455,0.5,1.2,0.443,1.5,3.2,0.459,0.516,0.4,0.5,0.759,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5
Alec Burks\burksal01,SG,25,UTA,42,0,15.5,2.4,5.9,0.399,0.6,1.8,0.329,1.8,4.1,0.43,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7
Jimmy Butler\butleji01,SF,27,CHI,76,75,37,7.5,16.5,0.455,1.2,3.3,0.367,6.3,13.2,0.477,0.492,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9
Bruno Caboclo\cabocbr01,SF,21,TOR,9,0,4.4,0.7,1.8,0.375,0.2,0.7,0.333,0.4,1.1,0.4,0.438,0,0,,0.6,0.6,1.1,0.4,0.2,0.1,0.2,0.4,1.6
Jose Calderon\caldejo01,PG,35,TOT,41,13,13.1,1.3,3.3,0.41,0.5,1.6,0.313,0.9,1.7,0.5,0.485,0.3,0.3,0.917,0.4,1.4,1.8,2.1,0.3,0,1,0.9,3.4
Jose Calderon\caldejo01,PG,35,LAL,24,11,12.2,1.3,3.2,0.416,0.5,1.4,0.353,0.8,1.8,0.465,0.494,0.2,0.2,1,0.3,1.4,1.8,2.1,0.3,0,1.1,0.9,3.3
Jose Calderon\caldejo01,PG,35,ATL,17,2,14.5,1.4,3.4,0.404,0.5,1.8,0.267,0.9,1.6,0.556,0.474,0.4,0.5,0.875,0.4,1.5,1.9,2.2,0.2,0,0.9,0.8,3.6
Kentavious Caldwell-Pope\caldwke01,SG,23,DET,76,75,33.3,4.9,12.2,0.399,2,5.8,0.35,2.9,6.5,0.442,0.481,2,2.4,0.832,0.7,2.5,3.3,2.5,1.2,0.2,1.1,1.6,13.8
Isaiah Canaan\canaais01,SG,25,CHI,39,0,15.2,1.6,4.4,0.364,0.6,2.4,0.266,1,2,0.481,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0,0.5,0.9,4.6
Clint Capela\capelca01,C,22,HOU,65,59,23.9,5.6,8.7,0.643,0,0,,5.6,8.7,0.643,0.643,1.4,2.7,0.531,2.7,5.4,8.1,1,0.5,1.2,1.3,2.8,12.6
DeMarre Carroll\carrode01,SF,30,TOR,72,72,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.761,0.9,2.9,3.8,1,1.1,0.4,0.8,2,8.9
Vince Carter\cartevi01,SF,40,MEM,73,15,24.6,2.6,6.7,0.394,1.5,4.1,0.378,1.1,2.7,0.418,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8
Michael Carter-Williams\cartemi01,PG,25,CHI,45,19,18.8,2.5,6.8,0.366,0.3,1.4,0.234,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6
Omri Casspi\casspom01,SF,28,TOT,36,2,17.9,2.1,4.6,0.47,0.4,1.2,0.349,1.7,3.4,0.512,0.515,0.5,0.8,0.586,0.8,2.4,3.1,1,0.6,0.1,0.8,1.4,5.2
Omri Casspi\casspom01,SF,28,SAC,22,2,18,2.4,5.3,0.453,0.5,1.3,0.379,1.9,4,0.477,0.5,0.5,1,0.571,0.9,3.2,4.1,1.2,0.5,0,0.8,1,5.9
Omri Casspi\casspom01,SF,28,NOP,1,0,24,5,9,0.556,2,4,0.5,3,5,0.6,0.667,0,0,,1,1,2,0,0,0,2,3,12
Omri Casspi\casspom01,SF,28,MIN,13,0,17.1,1.5,2.9,0.5,0.2,0.8,0.2,1.3,2.2,0.607,0.526,0.4,0.6,0.625,0.5,1.1,1.5,0.8,1,0.2,0.8,1.8,3.5
Willie Cauley-Stein\caulewi01,C,23,SAC,75,21,18.9,3.4,6.4,0.53,0,0,0,3.4,6.4,0.532,0.53,1.3,2,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2,8.1
Tyson Chandler\chandty01,C,34,PHO,47,46,27.6,3.3,4.9,0.671,0,0,,3.3,4.9,0.671,0.671,1.9,2.6,0.734,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4
Wilson Chandler\chandwi01,SF,29,DEN,71,33,30.9,6.1,13.2,0.461,1.5,4.6,0.337,4.5,8.6,0.527,0.52,2,2.7,0.727,1.5,5,6.5,2,0.7,0.4,1.6,2.4,15.7
Marquese Chriss\chrisma01,PF,19,PHO,82,75,21.3,3.5,7.7,0.449,0.9,2.7,0.321,2.6,5,0.52,0.506,1.4,2.2,0.624,1.2,3.1,4.2,0.7,0.8,0.9,1.3,3.2,9.2
Rakeem Christmas\chrisra01,PF,25,IND,29,0,7.6,0.7,1.5,0.442,0,0,,0.7,1.5,0.442,0.442,0.7,1,0.724,0.9,1,1.9,0.1,0.1,0.2,0.3,1.3,2
Semaj Christon\chrisse01,PG,24,OKC,64,1,15.2,1.2,3.5,0.345,0.2,1,0.19,1,2.5,0.406,0.372,0.3,0.5,0.548,0.3,1.1,1.4,2,0.4,0.1,0.7,1.2,2.9
Ian Clark\clarkia01,SG,25,GSW,77,0,14.8,2.7,5.6,0.487,0.8,2.1,0.374,1.9,3.5,0.556,0.558,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,1,6.8
Jordan Clarkson\clarkjo01,SG,24,LAL,82,19,29.2,5.8,13.1,0.445,1.4,4.3,0.329,4.4,8.7,0.503,0.5,1.6,2,0.798,0.6,2.4,3,2.6,1.1,0.1,2,1.8,14.7
Norris Cole\coleno01,PG,28,OKC,13,0,9.6,1.2,4,0.308,0.2,1,0.231,1,3,0.333,0.337,0.6,0.8,0.8,0,0.8,0.8,1.1,0.6,0,0.5,1.4,3.3
Darren Collison\collida01,PG,29,SAC,68,64,30.3,5,10.5,0.476,1.1,2.6,0.417,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1,0.1,1.7,1.8,13.2
Nick Collison\collini01,PF,36,OKC,20,0,6.4,0.7,1.2,0.609,0,0.1,0,0.7,1.1,0.636,0.609,0.3,0.4,0.625,0.5,1.1,1.6,0.6,0.1,0.1,0.2,0.9,1.7
Mike Conley\conlemi01,PG,29,MEM,69,68,33.2,6.7,14.6,0.46,2.5,6.1,0.408,4.2,8.6,0.497,0.545,4.6,5.3,0.859,0.4,3,3.5,6.3,1.3,0.3,2.3,1.8,20.5
Pat Connaughton\connapa01,SG,24,POR,39,1,8.1,0.9,1.8,0.514,0.4,0.8,0.515,0.5,1,0.513,0.632,0.2,0.2,0.778,0.3,1.1,1.3,0.7,0.2,0.1,0.4,0.6,2.5
Quinn Cook\cookqu01,PG,23,TOT,14,0,13.4,2.4,4.7,0.5,0.8,1.9,0.423,1.6,2.9,0.55,0.583,0.1,0.4,0.4,0.1,0.4,0.5,1.9,0.3,0,0.9,0.9,5.6
Quinn Cook\cookqu01,PG,23,DAL,5,0,15.4,2.2,5,0.44,1,2.8,0.357,1.2,2.2,0.545,0.54,0,0.4,0,0,0.6,0.6,2.4,0.2,0,1.6,1.2,5.4
Quinn Cook\cookqu01,PG,23,NOP,9,0,12.3,2.4,4.6,0.537,0.7,1.3,0.5,1.8,3.2,0.552,0.61,0.2,0.3,0.667,0.1,0.3,0.4,1.6,0.3,0,0.6,0.8,5.8
DeMarcus Cousins\couside01,C,26,TOT,72,72,34.2,9,19.9,0.452,1.8,5,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,8.9,11,4.6,1.4,1.3,3.7,3.9,27
DeMarcus Cousins\couside01,C,26,SAC,55,55,34.4,9.2,20.3,0.452,1.7,4.9,0.356,7.5,15.5,0.482,0.494,7.7,10,0.77,2.1,8.5,10.6,4.8,1.4,1.3,3.8,3.7,27.8
DeMarcus Cousins\couside01,C,26,NOP,17,17,33.8,8.4,18.5,0.452,2.1,5.6,0.375,6.2,12.8,0.486,0.51,5.5,7.1,0.777,2.2,10.2,12.4,3.9,1.5,1.1,3.6,4.4,24.4
Robert Covington\covinro01,SF,26,PHI,67,67,31.6,4.4,10.9,0.399,2,6.1,0.333,2.3,4.8,0.484,0.492,2.1,2.6,0.822,1.4,5.1,6.5,1.5,1.9,1,2,3,12.9
Allen Crabbe\crabbal01,SG,24,POR,79,7,28.5,3.8,8.2,0.468,1.7,3.8,0.444,2.1,4.4,0.49,0.572,1.3,1.6,0.847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7
Jamal Crawford\crawfja01,SG,36,LAC,82,1,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3,6.7,0.443,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3
Jordan Crawford\crawfjo02,SG,28,NOP,19,0,23.3,5.5,11.5,0.482,1.9,5,0.389,3.6,6.5,0.553,0.567,1.1,1.4,0.769,0.2,1.6,1.8,3,0.6,0.1,1.3,1.6,14.1
Jae Crowder\crowdja01,SF,26,BOS,72,72,32.4,4.6,10,0.463,2.2,5.5,0.398,2.4,4.5,0.54,0.572,2.4,3,0.811,0.7,5.1,5.8,2.2,1,0.3,1.1,2.2,13.9
Dante Cunningham\cunnida01,SF,29,NOP,66,35,25,2.6,5.4,0.485,1.1,2.7,0.392,1.6,2.7,0.579,0.584,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6
Seth Curry\curryse01,PG,26,DAL,70,42,29,4.8,10,0.481,2,4.6,0.425,2.9,5.4,0.528,0.578,1.2,1.4,0.85,0.4,2.2,2.6,2.7,1.1,0.1,1.3,1.8,12.8
Stephen Curry\curryst01,PG,28,GSW,79,79,33.4,8.5,18.3,0.468,4.1,10,0.411,4.4,8.3,0.537,0.58,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3,2.3,25.3
